"分类","架构","公司","型号","安装指引与示例"
"服务端CPU","ARM","飞腾","FT-2000+/64、S2500/64"," `在飞腾 CPU 芯片上安装和使用 <./cpu_phytium_cn.html>`_"
"服务端CPU","ARM","华为","鲲鹏 920 2426SK"," `在鲲鹏 CPU 芯片上安装和使用 <./cpu_phytium_cn.html>`_"
"服务端CPU","MIPS","龙芯","龙芯 3A4000、3A5000、3C5000L"," `在龙芯 CPU 芯片上安装和使用 <./cpu_loongson_cn.html>`_"
"服务端CPU","x86","兆芯","全系列 CPU"," `在兆芯 CPU 芯片上安装和使用 <./cpu_zhaoxin_cn.html>`_"
"服务端CPU","SW","申威","申威 SW6A、SW6B"," `在申威 CPU 芯片上安装和使用 <./cpu_sunway_cn.html>`_"
"服务端GPU","","AMD","AMD GPU MI100"," `在 AMD GPU 芯片上安装和使用 <./dcu_hygon_cn.html>`_"
"AI加速芯片","","海光","海光 DCU Z100"," `在海光 DCU 芯片上安装和使用 <./dcu_hygon_cn.html>`_"
"AI加速芯片","XPU","昆仑","昆仑 K200、R200等"," `在昆仑 XPU 芯片上安装和使用 <./xpu_kunlun_cn.html>`_"
"AI加速芯片","达芬奇","华为","昇腾910"," `在昇腾 NPU 芯片上安装和使用 <./npu_ascend_cn.html>`_"
"AI加速芯片","","Graphcore","Colossus MK2 GC200 IPU"," `在Graphcore IPU 芯片上安装和使用 <./ipu_graphcore_cn.html>`_"